id,ddpsubcategory,shiptypeid,hasitemsonbag,country
717d3d3ee94e6f848dd570b133068d3d,"Trousers, overalls, shorts",2,Yes,7
31d98aa6e33982688ffd79b317bc2d2f,"Blouses, shirts and shirt-blouses",2,Yes,7
4e93dc02e3b5d6edff0f6384c901bca0,WEBSITE,WEBSITE,WEBSITE,WEBSITE
14a56e016fef52c4469ece3400345e3b,Footwear with outer soles of rubber or plastics,2,Yes,3
b96454c6a99d5edc1c9f78d25c112825,Other footwear,2,No,16
9aa4891ecce0415d2d98d87cd941e19d,"Handbags, whether or not with shoulder strap, including those without handle",2,Yes,21
4e2eb3ab510d38c5497064d1c27a6361,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",2,Yes,7
437f8dac25396805e38baa7d63f3f2f8,"Shawls, scarves, mufflers, mantillas, veils and similar articles",2,Yes,9
097ab4c88916f5348cfae04e672de5da,WEBSITE,WEBSITE,WEBSITE,WEBSITE
d772cebb21d1f123c5681560056dd309,API,API,API,API
182ec91bf0dd60aa4a70e05d17ea02c9,Other footwear,8,Yes,1
c0664281d302fd919b5a4729eb3909c6,Other footwear with outer soles of leather,2,Yes,5
232492b2741fb36bd88c6e4d6acbba16,"Trousers, overalls, shorts",2,Yes,5
f7ed0b2ea22d96812b492792d1758ddf,Footwear with outer soles of rubber or plastics,2,No,1
e133132165b8e0974a0ab51360eae6da,,2,No,19
136cae1e877ef859c648ac9231ffbe02,Articles of a kind normally carried in the pocket or in the handbag,2,No,19
23d2b0fc7974e25a2445c5e9ce1db63e,API,API,API,API
b96291a7bf0298d8ec3fde1b10034bd6,Dresses,2,Yes,5
45e2f2a75c9c795d5cf3817b30f797dc,"Handbags, whether or not with shoulder strap, including those without handle",2,Yes,12
d82f71b0e30a5470f2bf4b062f942c98,Footwear with outer soles of rubber or plastics,2,Yes,1
8521e88016a0674e972495afca6a999e,"Hats and other headgear, knitted or crocheted, or made-up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed",2,Yes,3
c90a8dfa930ed79b3254fc334396ff1b,"Hats and other headgear, knitted or crocheted, or made-up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed",2,Yes,3
7a74edfdfeaedc7dc276ca053d9c93c3,"Pantyhose, tights",2,Yes,3
160e71b827ba06dc4c3cf581f1fd6038,"Trousers, overalls, shorts",2,Yes,12
62c01900fba8c675329c769b50add593,Footwear with outer soles of rubber or plastics,2,Yes,12
47a60aae0f52de06ba17d91b431b9bdd,"Hats and other headgear, knitted or crocheted, or made-up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed",2,Yes,5
139136c83f2596996dc5579e44f152ed,Articles of a kind normally carried in the pocket or in the handbag,2,Yes,5
cdeae18baf7bb375affc62bb6caf0b10,Briefs and panties,2,Yes,5
3d977b03e6ccd7a49bd7172ddcad971a,"Other e.g. braces, suspenders, garters and similar articles",2,Yes,5
e1a451eafea39a9de5c927c4efaf6c2c,Shirts,2,Yes,1
92313d893b4f9462b2ba42842f965974," T-shirts, singlets and other vests",2,Yes,1
1426285ffb478e26584a71a8588b1f08,Dresses,3,No,11
1256afbb690c7c7b3c419d6ddd59fbde,Articles of a kind normally carried in the pocket or in the handbag,2,Yes,5
ebe0a1a844ee3d9f30493964ffd32f7e,"Trousers, overalls, shorts",2,Yes,5
698d2381297d19bf4eb00e025aa648cd,Footwear with outer soles of rubber or plastics,2,No,1
cca77768b60eaecd0eb0a3a8a7824e72,Articles of a kind normally carried in the pocket or in the handbag,2,No,16
029111eec326dd0e8409421bd9bc609d,"Other e.g. braces, suspenders, garters and similar articles",2,No,70
07e6450fabbe3a56faabd0733503a88d,"Hats and other headgear, knitted or crocheted, or made-up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed",2,Yes,21
f1a463e67d84d06106704895a95f6812,"Hats and other headgear, knitted or crocheted, or made-up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed",2,Yes,21
7255fad35fa093022603032f3f800c52,"Hats and other headgear, knitted or crocheted, or made-up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed",3,Yes,21
8ee43057b0ccf1eeca113a4eba28e809,Footwear with outer soles of rubber or plastics,2,No,3
72bc1fa4dfb20eb05d6116280e52c5c4,Other footwear,2,No,39
ec369bb43791fa316d0d98b21845c556,Footwear with outer soles of rubber or plastics,2,No,39
a0a6ff3ddf66e0ec4b958514ffaa273c," T-shirts, singlets and other vests",2,Yes,12
03661a228806b55728db66f4ed1d8348," T-shirts, singlets and other vests",2,Yes,12
701da12c23497002ebad33a960a19ddd,"Blouses, shirts and shirt-blouses",2,No,5
2a67827b07491b33ebb4fc7c4e6b6d3c,,2,No,3
33fca5a7884e45baaf3c5b6b3eb1a135,"Trousers, overalls, shorts",3,Yes,20
c17516483f562c2dce6045c514931f09,"Handbags, whether or not with shoulder strap, including those without handle",2,No,19
9b1078a823002c3863abcbda7ad5f7f6,Other footwear,2,No,11
b1bcafd9d998c964a44fffacb6c6b0fb,"Hats and other headgear, knitted or crocheted, or made-up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed",2,Yes,1
84821b3f24ad454d6beddd651a5ea8b1," T-shirts, singlets and other vests",2,Yes,15
407a8a51b3cc85e11e7af9e97b55eb0d,Footwear with outer soles of leather or composition leather,2,Yes,15
4b9aaefb6bc2ed0342940bc5cea4b4f2," T-shirts, singlets and other vests",2,Yes,15
2be67cd12f301a1b1a819c26440d9816,"Handbags, whether or not with shoulder strap, including those without handle",2,Yes,15
9da8779ce7e36285ad251807e5fa74d8," T-shirts, singlets and other vests",2,Yes,15
411bfa629a787d7aee7c261bde83c7a8,"Trousers, overalls, shorts",2,Yes,15
d0d77289ee5c47578ce80f370d9ae7ab,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",2,Yes,15
6c4735e761dd13d4546ffd5c5b0a01f9," T-shirts, singlets and other vests",2,Yes,15
3bf9acbd9913b77515fd7aef0e105a77,Shirts,2,Yes,15
e565ed0abf8cd400732170c42160d46c,"Trousers, overalls, shorts",2,Yes,15
82a736232a6f81e7014395018c6e672f,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",2,Yes,15
d7c67c586e83beff4a2a8d1953150ea7,Shirts,2,Yes,15
49c46a842ec3d1b293300b816f6c1269,Shirts,2,Yes,15
ce2d271832bd4d8622217e67e04d70c7," T-shirts, singlets and other vests",2,Yes,15
5da0e6b8ca4ef5819a674bfeed75cb94,WEBSITE,WEBSITE,WEBSITE,WEBSITE
1bd66e57d89cc57751dc079b69706ca3,"Other e.g. braces, suspenders, garters and similar articles",2,Yes,15
fb03c2f1a8d304277560b3179e2e2d33,Sunglasses,2,Yes,11
09d813db3440291dd744bc47f7d3666e,Other footwear,2,Yes,19
a2fb01e7db1fd556665955ee44e4c17e,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",2,Yes,4
039ca763e125a2981d3287fa8c58b568,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",2,No,19
4b747a2e92c882e94930977ee03b553c,"Trousers, overalls, shorts",2,No,19
c11a00b13baf35a4b2cf58ca71564d0c,Jackets and blazers,3,No,24
2f382b58f3da0d547bb89a5e8e02df31,"Handbags, whether or not with shoulder strap, including those without handle",2,Yes,14
5a187ad4f093efb20e4f18888d65beff,"Gloves, mittens and mitts",2,No,5
9af01d3e243bd0a1a86ff2871bfe602c,"Blouses, shirts and shirt-blouses",2,Yes,19
8a686fa93af3f4d0ddcb444bd8901b4b,"Trousers, overalls, shorts",2,Yes,19
b8bd371590c1746d40738282ab023bce,Other footwear,2,No,3
ab28cff12c75476eb3885b4e544efc6b,Footwear with outer soles of rubber or plastics,2,No,46
d8e9c9415749cc71452103dc8344b9ce,"Trousers, overalls, shorts",2,Yes,5
b65d42e52962377ec9d3195adaebbc29,Other footwear,2,No,5
ec622a3582a6d6168dc7c57fb02550a8,Dresses,3,No,4
6ace69f1e89118c1e97a70242b86edee,,2,No,1
ef34083cb96e3c861fb58e7fb4ae6735,,2,No,1
553e0202f840db7f5553db65b07c4e1e," T-shirts, singlets and other vests",2,Yes,15
