orderportalid,orderdate_gmt,designer,style,shipper,shiptypeid,userid,isvip,country,region,ddprate,countrycode,hasusedwishlist,isreseller,hasitemsonbag,tierafterorder,tierbeforeorder,isusingmultipledevices,userfraudstatus,promocode,freereturn,issale,productid,brand,ddpsubcategory,storeid,countryoforigin,size,category_1stlevel,platform,returned
104679,2018-01-12 10:52:21.890000+00:00,35340,35349,1,3,10002.0,Not VIP,50,3,0.0,50,No,No,No,T2,T3,Yes,3,924,1,Yes,38724,2,Items of leather clothing & accessories,132,36,33,Clothing,web,0.0
371685,2018-02-11 22:54:23.243000+00:00,12069,12074,1,3,200751.0,Not VIP,27,3,0.0,27,Yes,No,No,T3,T3,Yes,3,1,1,No,7238,14,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",128,1,63,Clothing,app,1.0
375896,2018-01-19 21:12:27.616000+00:00,8622,8627,1,3,186164.0,Not VIP,4,3,0.0,4,Yes,No,No,T4,T4,Yes,4,1,1,No,9075,14,N/D,309,1,28,Shoes,web,1.0
92216,2018-01-11 09:33:32.726000+00:00,22639,22647,2,2,37526.0,Not VIP,12,4,0.0,12,Yes,No,Yes,T3,T3,Yes,3,924,1,Yes,24378,279,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",377,1,65,Girls Clothing,app,0.0
139968,2018-01-17 13:50:47.180000+00:00,23517,23525,2,2,109042.0,Not VIP,2,1,32.2021,2,Yes,No,Yes,T2,T3,No,3,1,1,No,25349,314,Other footwear,336,2,23,Shoes,app,1.0
191755,2018-01-26 10:33:50.813000+00:00,15333,15340,2,2,143605.0,Not VIP,5,3,0.0,5,Yes,No,No,T4,,No,3,1,1,Yes,16314,23,Other footwear,30,1,28,Shoes,web,1.0
229671,2018-02-02 00:58:26.880000+00:00,110671,110695,2,2,110167.0,Not VIP,40,4,5.8485,40,Yes,No,Yes,T2,T2,Yes,3,4277,1,No,127438,38,N/D,1198,1,6,Accessories,web,0.0
392367,2018-01-02 14:30:33.183000+00:00,7246,7250,2,2,263927.0,Not VIP,4,3,0.0,4,No,No,No,,,No,3,1,1,No,7588,37,Footwear with outer soles of rubber or plastics,36,1,12,Shoes,web,1.0
393912,2018-01-28 16:02:13.406000+00:00,17987,17994,2,2,264665.0,Not VIP,2,1,27.9203,2,Yes,No,No,,,No,4,1,1,No,21247,50,Articles of a kind normally carried in the pocket or in the handbag,114,1,17,Homeware,app,1.0
206074,2018-01-29 01:18:50.446000+00:00,31854,31863,2,2,73313.0,Not VIP,7,1,0.0,7,Yes,No,Yes,T1,T1,Yes,7,1,0,Yes,34773,19,"Coats: overcoats, raincoat, cape, cloak, ski jackets, windcheaters, wind-jackets and similar articles",15,16,9,Clothing,web,0.0
