orderportalid,orderdate_gmt,designer,style,shipper,shiptypeid,userid,isvip,country,region,ddprate,countrycode,hasusedwishlist,isreseller,hasitemsonbag,tierafterorder,tierbeforeorder,isusingmultipledevices,userfraudstatus,promocode,freereturn,issale,productid,brand,ddpsubcategory,storeid,countryoforigin,size,category_1stlevel,platform,returned
383668,2018-02-03 05:36:47.120000+00:00,135808,135839,2,2,259580.0,Not VIP,1,1,5.0083,1,Yes,No,No,,,No,4,1,1,No,158654,580,Other footwear with outer soles of leather,1092,1,30,Shoes,web,1.0
31504,2018-01-06 10:53:16.880000+00:00,28339,28347,2,2,27827.0,Not VIP,3,2,0.0,3,No,No,No,T4,,No,3,1,1,Yes,30810,889,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",257,1,43,Clothing,web,0.0
141248,2018-01-17 17:47:13.090000+00:00,83646,83667,2,2,73655.0,VIP,18,4,0.0,18,Yes,No,Yes,T2,T2,No,3,1,1,No,94532,219,Footwear with outer soles of rubber or plastics,366,2,213,Shoes,app,0.0
313707,2018-02-18 12:25:18.570000+00:00,104583,104605,1,3,117177.0,Not VIP,9,3,0.0,9,Yes,No,No,T4,T4,No,3,1,1,No,119872,9,"Trousers, overalls, shorts",106,3,136,Clothing,web,1.0
383656,2018-01-09 03:39:40.683000+00:00,151257,151290,2,2,259574.0,Not VIP,19,4,0.0,19,Yes,No,No,,,No,3,921,1,Yes,177927,1527,Skirts,956,24,17,Clothing,web,1.0
382961,2018-02-03 00:54:48.230000+00:00,150906,150939,2,2,113367.0,VIP New,1,1,5.0083,1,Yes,No,Yes,VIP,VIP,No,6,1,1,No,177498,19,"Trousers, overalls, shorts",106,1,317,Clothing,app,1.0
373519,2018-02-05 13:53:18.530000+00:00,48906,48918,5,9,43533.0,VIP New,4,3,0.0,4,Yes,No,Yes,VIP,VIP,Yes,6,1,1,Yes,54127,319,"Trousers, overalls, shorts",340,9,33,Clothing,web,1.0
108926,2018-01-12 16:24:41.836000+00:00,65500,65517,2,2,37108.0,VIP New,12,4,28.7029,12,Yes,No,Yes,VIP,VIP,Yes,6,924,1,Yes,73263,131,"Handbags, whether or not with shoulder strap, including those without handle",266,2,17,Bags,web,0.0
166864,2018-01-22 07:14:19.493000+00:00,28346,28354,2,2,104075.0,Not VIP,3,2,0.0,3,Yes,No,No,T4,T4,No,3,1,1,No,30817,196,"Handbags, whether or not with shoulder strap, including those without handle",53,1,17,Bags,web,0.0
402765,2018-01-13 03:14:13.113000+00:00,11486,11491,2,2,268835.0,Not VIP,1,1,0.0,1,Yes,No,Yes,T2,T2,Yes,4,924,1,No,32185,9," T-shirts, singlets and other vests",561,3,14,Clothing,web,1.0
